date,station,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
1999-06-04T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,75.0,42.0,75.0
1999-06-05T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,51.0,78.0
1999-06-06T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,78.0,43.0,73.0
1999-06-07T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,48.0,71.0
1999-06-08T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,76.0,40.0,72.0
1999-06-09T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,78.0,42.0,78.0
1999-06-10T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,82.0,42.0,79.0
1999-06-11T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,81.0,46.0,78.0
1999-06-12T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,81.0,48.0,72.0
1999-06-13T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,84.0,49.0,81.0
1999-06-14T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,82.0,52.0,78.0
1999-06-15T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,53.0,71.0
1999-06-16T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,49.0,82.0
1999-06-17T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,52.0,82.0
1999-06-18T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,84.0,47.0,83.0
1999-06-19T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,48.0,81.0
1999-06-20T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,87.0,50.0,86.0
1999-06-21T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,85.0,55.0,80.0
1999-06-22T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,87.0,55.0,87.0
1999-06-23T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,88.0,52.0,83.0
1999-06-24T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,52.0,82.0
1999-06-25T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,49.0,82.0
1999-06-26T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,88.0,47.0,87.0
1999-06-27T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,96.0,49.0,94.0
1999-06-28T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,98.0,54.0,98.0
1999-06-29T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,101.0,56.0,100.0
1999-06-30T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,103.0,59.0,101.0
1999-07-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,89.0,57.0,89.0
1999-07-02T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,81.0,50.0,78.0
1999-07-03T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,80.0,47.0,73.0
1999-07-04T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,85.0,46.0,83.0
1999-07-05T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,92.0,50.0,91.0
1999-07-06T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,84.0,47.0,81.0
1999-07-07T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,90.0,50.0,90.0
1999-07-08T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,96.0,50.0,95.0
