date,station,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
1995-01-01T00:00:00,GHCND:USC00048351,0.0,0.0,20.0,18.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,31.0,0.0,0.0,4.28,70.0,1475.0,403.0,20.29,0.0,51.2,57.5,44.8
1995-02-01T00:00:00,GHCND:USC00048351,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,29.0,0.0,0.0,0.64,78.0,1762.0,287.0,0.82,0.0,54.0,63.6,44.4
1995-03-01T00:00:00,GHCND:USC00048351,0.0,0.0,16.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,33.0,0.0,0.0,2.9,74.0,2115.0,353.0,13.3,0.0,52.8,63.0,42.5
1995-04-01T00:00:00,GHCND:USC00048351,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,34.0,0.0,0.0,0.25,82.0,2329.0,214.0,1.33,0.0,57.1,69.5,44.6
1995-05-01T00:00:00,GHCND:USC00048351,6.0,6.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,42.0,0.0,0.0,1.1,91.0,2472.0,142.0,1.89,0.0,60.0,72.1,47.9
1995-06-01T00:00:00,GHCND:USC00048351,83.0,77.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,43.0,0.0,0.0,0.88,103.0,2515.0,43.0,1.04,0.0,66.5,81.1,51.9
1995-07-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,49.0,0.0,0.0,0.0,,,,0.0,0.0,,,55.1
1995-08-01T00:00:00,GHCND:USC00048351,,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,45.0,0.0,0.0,0.0,102.0,,4.0,0.0,0.0,71.1,90.4,51.9
1995-09-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,46.0,0.0,0.0,0.0,,,,0.0,0.0,,,51.3
1995-10-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,37.0,0.0,0.0,0.0,,,,0.0,0.0,,,46.3
1995-11-01T00:00:00,GHCND:USC00048351,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,36.0,0.0,0.0,0.17,81.0,,204.0,0.25,0.0,57.8,72.5,43.2
1995-12-01T00:00:00,GHCND:USC00048351,,0.0,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,3.45,68.0,,391.0,9.95,0.0,52.0,60.2,43.7
1996-01-01T00:00:00,GHCND:USC00048351,0.0,0.0,14.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,3.1,70.0,,476.0,8.96,0.0,49.1,57.8,40.5
1996-02-01T00:00:00,GHCND:USC00048351,0.0,0.0,16.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,27.0,0.0,0.0,2.0,75.0,,293.0,8.26,0.0,53.6,63.5,43.7
1996-03-01T00:00:00,GHCND:USC00048351,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,32.0,0.0,0.0,1.35,83.0,,263.0,2.61,0.0,55.3,69.4,41.1
